Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby,25,BOS,13,0,159,24,55,.436,0,0,,16,25,.640,12,34,46,3,2,3,17,20,64
2,Mahmoud Abdul-Rauf,24,DEN,80,78,2617,588,1279,.460,42,133,.316,219,229,.956,27,141,168,362,82,10,151,150,1437
3,Michael Adams,31,WSB,70,67,2337,285,698,.408,55,191,.288,224,270,.830,37,146,183,480,96,6,167,140,849
4,Mark Aguirre,34,LAC,39,0,859,163,348,.468,37,93,.398,50,72,.694,28,88,116,104,21,8,70,98,413
5,Danny Ainge,34,PHO,68,1,1555,224,537,.417,80,244,.328,78,94,.830,28,103,131,180,57,8,81,140,606
6,Gary Alexander,24,TOT,11,0,55,8,14,.571,0,0,,3,9,.333,7,8,15,2,3,0,8,10,19
6,Gary Alexander,24,MIA,4,0,12,1,2,.500,0,0,,0,2,.000,1,2,3,1,0,0,1,3,2
6,Gary Alexander,24,CLE,7,0,43,7,12,.583,0,0,,3,7,.429,6,6,12,1,3,0,7,7,17
7,Victor Alexander,24,GSW,69,39,1318,266,502,.530,2,13,.154,68,129,.527,114,194,308,66,28,32,86,168,602
8,Eric Anderson,23,NYK,11,0,39,7,17,.412,2,2,1.000,5,14,.357,6,11,17,2,0,1,2,9,21
9,Greg Anderson,29,DET,77,47,1624,201,370,.543,1,3,.333,88,154,.571,183,388,571,51,55,68,94,234,491
10,Kenny Anderson,23,NJN,82,82,3135,576,1381,.417,40,132,.303,346,423,.818,89,233,322,784,158,15,266,201,1538
11,Nick Anderson,26,ORL,81,81,2811,504,1054,.478,101,314,.322,168,250,.672,113,363,476,294,134,33,165,148,1277
12,Ron Anderson,35,TOT,21,2,356,35,86,.407,7,26,.269,19,23,.826,16,37,53,17,8,3,10,16,96
12,Ron Anderson,35,NJN,11,2,176,15,43,.349,4,12,.333,10,12,.833,8,18,26,6,5,2,1,9,44
12,Ron Anderson,35,WSB,10,0,180,20,43,.465,3,14,.214,9,11,.818,8,19,27,11,3,1,9,7,52
13,Willie Anderson,27,SAS,80,79,2488,394,837,.471,22,68,.324,145,171,.848,68,174,242,347,71,46,153,187,955
14,Greg Anthony,26,NYK,80,36,1994,225,571,.394,48,160,.300,130,168,.774,43,146,189,365,114,13,127,163,628
15,B.J. Armstrong,26,CHI,82,82,2770,479,1007,.476,60,135,.444,194,227,.855,28,142,170,323,80,9,131,147,1212
16,Vincent Askew,27,SEA,80,3,1690,273,567,.481,6,31,.194,175,211,.829,60,124,184,194,73,19,70,145,727
17,Keith Askins,26,MIA,37,0,319,36,88,.409,4,21,.190,9,10,.900,33,49,82,13,11,1,21,57,85
18,Stacey Augmon,25,ATL,82,82,2605,439,861,.510,1,7,.143,333,436,.764,178,216,394,187,149,45,147,179,1212
19,Isaac Austin,24,PHI,14,0,201,29,66,.439,0,1,.000,14,23,.609,25,44,69,17,5,10,17,29,72
20,Anthony Avent,24,TOT,74,40,1371,150,398,.377,0,0,,89,123,.724,144,194,338,65,33,31,85,147,389
20,Anthony Avent,24,MIL,33,20,695,92,228,.404,0,0,,61,79,.772,60,94,154,33,16,20,43,60,245
20,Anthony Avent,24,ORL,41,20,676,58,170,.341,0,0,,28,44,.636,84,100,184,32,17,11,42,87,144
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,John Bagley,33,ATL,3,0,13,0,2,.000,0,0,,2,2,1.000,0,1,1,3,0,0,0,2,2
22,Thurl Bailey,32,MIN,79,3,1297,232,455,.510,0,2,.000,119,149,.799,66,149,215,54,20,58,58,93,583
23,Vin Baker,22,MIL,82,63,2560,435,869,.501,1,5,.200,234,411,.569,277,344,621,163,60,114,162,231,1105
24,Charles Barkley*,30,PHO,65,65,2298,518,1046,.495,48,178,.270,318,452,.704,198,529,727,296,101,37,206,160,1402
25,Dana Barros,26,PHI,81,70,2519,412,878,.469,135,354,.381,116,145,.800,28,168,196,424,107,5,167,96,1075
26,Jon Barry,24,MIL,72,7,1242,158,382,.414,32,115,.278,97,122,.795,36,110,146,168,102,17,83,110,445
